,Team,Type,POS,Name,Specific POS,AGE,SH,ACQUIRED,GP,G,A,P,GAA,SV%,League,Notes,NHL eP,Goalie Equivalency
235,VAN,Minors,F,"Lekkerimäki, Jonathan",RW,19,R,Drafted (15 - 2022),29,3.0,6.0,9.0,,,HockeyAllsvenskan,,9,0.0
236,VAN,Minors,F,"Klimovich, Danila",RW,20,R,Drafted (41 - 2021),67,17.0,12.0,29.0,,,AHL,,14,0.0
237,VAN,Minors,F,"Plasek, Karel",LW,23,L,Drafted (175 - 2019),31,6.0,9.0,15.0,,,Czechia,,23,0.0
238,VAN,Minors,F,"Karlsson, Linus",RW,23,R,Traded,72,24.0,25.0,49.0,,,AHL,,22,0.0
239,VAN,Minors,F,"Bloom, Josh",LW,20,L,Traded,68,32.0,39.0,71.0,,,OHL,,12,0.0
240,VAN,Minors,F,"Bains, Arshdeep",LW,22,L,Signed to ELC,66,13.0,25.0,38.0,,,AHL,,18,0.0
241,VAN,Minors,F,"Sasson, Max",C,23,L,Signed to ELC,38,15.0,27.0,42.0,,,NCAA,,18,0.0
242,VAN,Minors,F,"Nielsen, Tristen",C,23,L,Signed to ELC,64,14.0,27.0,41.0,,,AHL,,20,0.0
243,VAN,Minors,D,"McWard, Cole",RD,22,R,Signed to ELC,39,9.0,12.0,21.0,,,NCAA,,9,0.0
244,VAN,Minors,D,"Woo, Jett",RD,23,R,Drafted (37 - 2018),68,7.0,14.0,21.0,,,AHL,,10,0.0
245,VAN,Minors,D,"Pettersson, Elias",LD,19,L,Drafted (80 - 2022),43,1.0,6.0,7.0,,,SHL,,8,0.0
246,VAN,Minors,D,"Kudryavtsev, Kirill",LD,19,L,Drafted (208 - 2022),67,8.0,42.0,50.0,,,OHL,,9,0.0
247,VAN,Minors,D,"Johansson, Filip",RD,23,R,Signed to ELC,51,5.0,16.0,21.0,,,SHL,,19,0.0
248,VAN,Minors,G,"Tolopilo, Nikita",G,23,L,Signed to ELC,45,,,,2.1,0.924,HockeyAllsvenskan,,0,0.889766012
251,VAN,Prospects,F,"Gardner, Daimon",C,19,L,Drafted (112 - 2022),46,12.0,30.0,42.0,,,USHL,,11,0.0
252,VAN,Prospects,F,"Kunz, Jackson",C,21,L,Drafted (113 - 2020),24,5.0,0.0,5.0,,,NCAA,,3,0.0
254,VAN,Prospects,F,"Zlodeyev, Dmitri",C,21,L,Drafted (175 - 2020),33,7.0,6.0,13.0,,,VHL,,11,0.0
255,VAN,Prospects,F,"Malone, Jack",RW,22,R,Drafted (180 - 2019),34,8.0,9.0,17.0,,,NCAA,,8,0.0
256,VAN,Prospects,F,"Forsell, Lucas",LW,20,R,Drafted (201 - 2021),35,11.0,2.0,13.0,,,SHL,,17,0.0
259,VAN,Prospects,D,"Jurmo, Joni",LD,21,L,Drafted (82 - 2020),52,5.0,8.0,13.0,,,Liiga,,9,0.0
261,VAN,Prospects,D,"Truscott, Jacob",LD,21,L,Drafted (144 - 2020),23,4.0,12.0,16.0,,,NCAA,,11,0.0
